SAPSyncPlant,SapSyncAvailableRetries,SAPSyncEvent,SAPSyncTagID,SAPSyncUser,SAPSyncScanZone,id,SAPSync,ScanZone,SAPSyncErrorMessage,SAPSyncTime,serialTag,serial
7386,4,Disassociate,20130915872603000101316F,HH,,8145,false,7386_Available,Tag ID :20130915872603000101316F Not assosciated to any Equipment.,1435603611868,,00000005
7394,4,ChangeStatus,201309198726030001015CDA,root,7394_NI,10694,false,7394_NI,Tag ID :201309198726030001015CDA Not assosciated to any Equipment.,1443445039583,201309198726030001015CDA,10669915
7395,4,ChangeStatus,201309208726030001016AC9,root,7395_NI,6352,false,7395_NI,Tag ID :201309208726030001016AC9 Not assosciated to any Equipment.,1440773866778,201309208726030001016AC9,10675044
7394,4,ChangeStatus,201309198726030001015DE2,root,7394_NI,4617,false,7394_NI,Tag ID :201309198726030001015DE2 Not assosciated to any Equipment.,1441887983425,201309198726030001015DE2,10683198
7395,4,ChangeStatus,2013092287260300010195D9,root,7395_NI,6333,false,7395_NI,Tag ID :2013092287260300010195D9 Not assosciated to any Equipment.,1440421000575,2013092287260300010195D9,10683712
7395,4,ChangeStatus,20130919872603000101884B,root,7395_NI,6013,false,7395_NI,Tag ID :20130919872603000101884B Not assosciated to any Equipment.,1440088403739,20130919872603000101884B,10683713
7395,4,ChangeStatus,2013092287260300010195E9,root,7395_NI,6334,false,7395_NI,Tag ID :2013092287260300010195E9 Not assosciated to any Equipment.,1440421063030,2013092287260300010195E9,10692085
7394,4,ChangeStatus,201309208726030001017354,root,7394_NI,4389,false,7394_NI,Tag ID :201309208726030001017354 Not assosciated to any Equipment.,1437269261906,201309208726030001017354,10692087
7394,4,ChangeStatus,20130914872603000101266F,root,7394_NI,11111,false,7394_NI,Tag ID :20130914872603000101266F Not assosciated to any Equipment.,1443445159587,20130914872603000101266F,10702917
7395,4,ChangeStatus,201309148726030001011ABE,root,7395_NI,6071,false,7395_NI,Tag ID :201309148726030001011ABE Not assosciated to any Equipment.,1438279421436,201309148726030001011ABE,10703769
7395,4,ChangeStatus,201309188726030001014325,root,7395_NI,6056,false,7395_NI,Tag ID :201309188726030001014325 Not assosciated to any Equipment.,1438279417342,201309188726030001014325,10712934
7394,4,ChangeStatus,201309158726030001012F90,root,7394_NI,10527,false,7394_NI,Tag ID :201309158726030001012F90 Not assosciated to any Equipment.,1442582409344,201309158726030001012F90,10714064
7395,4,ChangeStatus,20130922872603000101A7C2,root,7395_INUSE,8411,false,7395_InUse,Tag ID :20130922872603000101A7C2 Not assosciated to any Equipment.,1438954597005,20130922872603000101A7C2,10719184
7394,4,ChangeStatus,10749063B,root,7394_INUSE,336,false,7394_InUse,Tag ID :10749063B Not assosciated to any Equipment.,1442697504269,201309138726030001010EAE,10749063
7394,4,ChangeStatus,201309198726030001016206,root,7394_NI,4396,false,7394_NI,Tag ID :201309198726030001016206 Not assosciated to any Equipment.,1437269795128,201309198726030001016206,10780793
7394,4,ChangeStatus,201309218726030001018D38,root,7394_INUSE,4176,false,7394_InUse,Tag ID :201309218726030001018D38 Not assosciated to any Equipment.,1441779171609,201309218726030001018D38,10790557
7440,4,ChangeStatus,20130922872603000101978E,root,7440_NI,4104,false,7440_NI,Tag ID :20130922872603000101978E Not assosciated to any Equipment.,1436207362408,20130922872603000101978E,10807946
7395,4,ChangeStatus,201309208726030001016B0F,root,7395_NI,6177,false,7395_NI,Tag ID :201309208726030001016B0F Not assosciated to any Equipment.,1438627931648,201309208726030001016B0F,10873765
7395,4,ChangeStatus,201309228726030001019580,root,7395_NI,6332,false,7395_NI,Tag ID :201309228726030001019580 Not assosciated to any Equipment.,1440277829791,201309228726030001019580,10894466
7395,4,ChangeStatus,201309148726030001012366,root,7395_NI,5891,false,7395_NI,Tag ID :201309148726030001012366 Not assosciated to any Equipment.,1439741525801,201309148726030001012366,10903104
7395,4,ChangeStatus,2013091887260300010142F7,bupkaw,7395_AVAILABLE,6053,false,7395_Available,Tag ID :2013091887260300010142F7 Not assosciated to any Equipment.,1442408689373,2013091887260300010142F7,10903118
7394,4,ChangeStatus,201309158726030001012BA3,root,7394_INUSE,10941,false,7394_InUse,Tag ID :201309158726030001012BA3 Not assosciated to any Equipment.,1441779511250,201309158726030001012BA3,10912284
7395,4,ChangeStatus,201309228726030001019596,root,7395_NI,6326,false,7395_NI,Tag ID :201309228726030001019596 Not assosciated to any Equipment.,1437733499249,201309228726030001019596,10953590
7395,4,ChangeStatus,2013091887260300010142AB,root,7395_INUSE,6041,false,7395_InUse,Tag ID :2013091887260300010142AB Not assosciated to any Equipment.,1438091136486,2013091887260300010142AB,11094426
7394,4,ChangeStatus,201309148726030001011984,root,7394_NI,4351,false,7394_NI,Tag ID :201309148726030001011984 Not assosciated to any Equipment.,1442522316351,201309148726030001011984,11098031
7394,4,ChangeStatus,201309148726030001012764,root,7394_NI,4226,false,7394_NI,Tag ID :201309148726030001012764 Not assosciated to any Equipment.,1442522347883,201309148726030001012764,11105350
7394,4,ChangeStatus,201309198726030001017CB4,root,7394_NI,4252,false,7394_NI,Tag ID :201309198726030001017CB4 Not assosciated to any Equipment.,1439469609723,201309198726030001017CB4,11111958
7394,4,ChangeStatus,201309208726030001017396,root,7394_NI,4386,false,7394_NI,Tag ID :201309208726030001017396 Not assosciated to any Equipment.,1437051420335,201309208726030001017396,11126520
7440,4,ChangeStatus,201309198726030001015F42,root,7440_INUSE,4113,false,7440_InUse,Tag ID :201309198726030001015F42 Not assosciated to any Equipment.,1435787075835,201309198726030001015F42,11128105
7395,4,ChangeStatus,201309198726030001015AD8,bupkaw,7395_AVAILABLE,6463,false,7395_Available,Tag ID :201309198726030001015AD8 Not assosciated to any Equipment.,1438116910679,201309198726030001015AD8,11151651
7394,4,ChangeStatus,201309138726030001010B44,root,7394_INUSE,10781,false,7394_InUse,Tag ID :201309138726030001010B44 Not assosciated to any Equipment.,1442590491050,201309138726030001010B44,11151653
7394,4,ChangeStatus,201309148726030001012743,root,7394_NI,4228,false,7394_NI,Tag ID :201309148726030001012743 Not assosciated to any Equipment.,1442522316210,201309148726030001012743,11156738
7395,4,ChangeStatus,201309198726030001017D53,root,7395_INUSE,6017,false,7395_InUse,Tag ID :201309198726030001017D53 Not assosciated to any Equipment.,1437594423309,201309198726030001017D53,11162974
7394,4,ChangeStatus,201309228726030001019A2B,root,7394_INUSE,10908,false,7394_InUse,Tag ID :201309228726030001019A2B Not assosciated to any Equipment.,1442697501190,201309228726030001019A2B,11193543
7394,4,ChangeStatus,201309208726030001017322,root,7394_NI,4414,false,7394_NI,Tag ID :201309208726030001017322 Not assosciated to any Equipment.,1442522315522,201309208726030001017322,11201477
7394,4,ChangeStatus,201309218726030001018DF8,root,7394_NI,4255,false,7394_NI,Tag ID :201309218726030001018DF8 Not assosciated to any Equipment.,1439469601614,201309218726030001018DF8,11205239
7394,4,ChangeStatus,201309198726030001015F65,root,7394_NI,4261,false,7394_NI,Tag ID :201309198726030001015F65 Not assosciated to any Equipment.,1439469605770,201309198726030001015F65,11206355
7394,4,ChangeStatus,201309198726030001017CAF,root,7394_NI,4259,false,7394_NI,Tag ID :201309198726030001017CAF Not assosciated to any Equipment.,1439469610723,201309198726030001017CAF,11206357
7394,4,ChangeStatus,201309198726030001015F1B,root,7394_NI,4258,false,7394_NI,Tag ID :201309198726030001015F1B Not assosciated to any Equipment.,1439469613801,201309198726030001015F1B,11206358
7394,4,ChangeStatus,201309218726030001018D56,root,7394_NI,4263,false,7394_NI,Tag ID :201309218726030001018D56 Not assosciated to any Equipment.,1441887991784,201309218726030001018D56,11207349
7370,4,ChangeStatus,20130923872603000101AFBD,root,7370_AVAILABLE,3809,false,7370_Available,Tag ID :20130923872603000101AFBD Not assosciated to any Equipment.,1442501503283,20130923872603000101AFBD,11208181
7394,4,ChangeStatus,201309138726030001010F17,root,7394_INUSE,11017,false,7394_InUse,Tag ID :201309138726030001010F17 Not assosciated to any Equipment.,1442697500440,201309138726030001010F17,11260396
7394,4,ChangeStatus,2013091387260300010113AD,root,7394_INUSE,11019,false,7394_InUse,Tag ID :2013091387260300010113AD Not assosciated to any Equipment.,1442697507284,2013091387260300010113AD,11260401
7395,4,ChangeStatus,201309198726030001017DA6,root,7395_NI,6008,false,7395_NI,Tag ID :201309198726030001017DA6 Not assosciated to any Equipment.,1438453660788,201309198726030001017DA6,11270810
7395,4,ChangeStatus,201309148726030001011AC9,ruselod,7395_AVAILABLE,6068,false,7395_Available,Tag ID :201309148726030001011AC9 Not assosciated to any Equipment.,1443038369228,201309148726030001011AC9,11317485
7394,4,ChangeStatus,201309198726030001015B2B,root,7394_INUSE,4309,false,7394_InUse,Tag ID :201309198726030001015B2B Not assosciated to any Equipment.,1438033980197,201309198726030001015B2B,11317507
7394,4,ChangeStatus,201309198726030001018038,root,7394_NI,4326,false,7394_NI,Tag ID :201309198726030001018038 Not assosciated to any Equipment.,1435582542773,201309198726030001018038,11317515
